actor_name,actor_name,movies,revenues,costs,gross_profit,return,count
Werner Herzog,Werner Herzog,[https://en.wikipedia.org/wiki/Jack_Reacher_(film)],218300000.0,60000000.0,49150000.0,0.819166666667,1
David Hyde Pierce,David Hyde Pierce,[https://en.wikipedia.org/wiki/The_Perfect_Host],48764.0,500000.0,-475618.0,-0.951236,1
Sergio Castellitto,Sergio Castellitto,[https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian],419700000.0,225000000.0,-15150000.0,-0.0673333333333,1
Henry Thomas,Henry Thomas,"[https://en.wikipedia.org/wiki/Dear_John_(2010_film), https://en.wikipedia.org/wiki/Ouija:_Origin_of_Evil]",196600000.0,34000000.0,64300000.0,1.89117647059,2
Anna Faris,Anna Faris,"[https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_Chipwrecked, https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Squeakquel, https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_(film), https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2, https://en.wikipedia.org/wiki/Movie_43, https://en.wikipedia.org/wiki/Scary_Movie_4, https://en.wikipedia.org/wiki/Take_Me_Home_Tonight_(film), https://en.wikipedia.org/wiki/The_Dictator_(2012_film), https://en.wikipedia.org/wiki/What%27s_Your_Number%3F, https://en.wikipedia.org/wiki/Yogi_Bear_(film)]",1932640005.0,558000000.0,408320002.5,0.731756276882,10
Sidse Babett Knudsen,Sidse Babett Knudsen,"[https://en.wikipedia.org/wiki/A_Hologram_for_the_King_(film), https://en.wikipedia.org/wiki/Inferno_(2016_film)]",227800000.0,105000000.0,8900000.0,0.0847619047619,2
Kyle Chandler,Kyle Chandler,"[https://en.wikipedia.org/wiki/Super_8_(film), https://en.wikipedia.org/wiki/The_Spectacular_Now, https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)]",659000000.0,152500000.0,177000000.0,1.1606557377,3
Meagan Good,Meagan Good,"[https://en.wikipedia.org/wiki/35_and_Ticking, https://en.wikipedia.org/wiki/Think_Like_a_Man, https://en.wikipedia.org/wiki/Think_Like_a_Man_Too]",166300000.0,36000000.0,47150000.0,1.30972222222,3
Oona Chaplin,Oona Chaplin,[https://en.wikipedia.org/wiki/The_Longest_Ride_(film)],64944815.0,34000000.0,-1527592.5,-0.0449291911765,1
Sandra Oh,Sandra Oh,"[https://en.wikipedia.org/wiki/Rabbit_Hole_(film), https://en.wikipedia.org/wiki/Ramona_and_Beezus]",32436897.0,18000000.0,-1781551.5,-0.0989750833333,2
Bob Sapp,Bob Sapp,[https://en.wikipedia.org/wiki/Conan_the_Barbarian_(2011_film)],48800000.0,90000000.0,-65600000.0,-0.728888888889,1
Kristen Anderson-Lopez,Kristen Anderson-Lopez,[https://en.wikipedia.org/wiki/Winnie_the_Pooh_(2011_film)],50100000.0,30000000.0,-4950000.0,-0.165,1
Jo Lawry,Jo Lawry,[https://en.wikipedia.org/wiki/20_Feet_from_Stardom],5800000.0,1000000.0,1900000.0,1.9,1
Kaya Scodelario,Kaya Scodelario,[https://en.wikipedia.org/wiki/The_Maze_Runner_(film)],348300000.0,34000000.0,140150000.0,4.12205882353,1
Brian Bosworth,Brian Bosworth,[https://en.wikipedia.org/wiki/Do_You_Believe%3F_(film)],14400000.0,2300000.0,4900000.0,2.13043478261,1
Liev Schreiber,Liev Schreiber,"[https://en.wikipedia.org/wiki/Movie_43, https://en.wikipedia.org/wiki/Repo_Men, https://en.wikipedia.org/wiki/Salt_(2010_film), https://en.wikipedia.org/wiki/The_5th_Wave_(film), https://en.wikipedia.org/wiki/The_Butler, https://en.wikipedia.org/wiki/X-Men_Origins:_Wolverine]",1003909891.0,366000000.0,135954945.5,0.371461599727,6
Jonah Hill,Jonah Hill,"[https://en.wikipedia.org/wiki/21_Jump_Street_(film), https://en.wikipedia.org/wiki/22_Jump_Street, https://en.wikipedia.org/wiki/Cyrus_(2010_comedy-drama_film), https://en.wikipedia.org/wiki/Get_Him_to_the_Greek, https://en.wikipedia.org/wiki/Hail,_Caesar!, https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_(film), https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_2, https://en.wikipedia.org/wiki/Megamind, https://en.wikipedia.org/wiki/Moneyball_(film), https://en.wikipedia.org/wiki/Sausage_Party, https://en.wikipedia.org/wiki/The_Sitter_(2011_film), https://en.wikipedia.org/wiki/The_Watch_(2012_film), https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film), https://en.wikipedia.org/wiki/This_Is_the_End, https://en.wikipedia.org/wiki/True_Story_(film), https://en.wikipedia.org/wiki/War_Dogs_(2016_film)]",3093731520.0,982500000.0,564365760.0,0.574418076336,16
"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",[https://en.wikipedia.org/wiki/The_Marine_3:_Homefront],5000000.0,1500000.0,1000000.0,0.666666666667,1
Dakota Fanning,Dakota Fanning,"[https://en.wikipedia.org/wiki/American_Pastoral_(film), https://en.wikipedia.org/wiki/New_Moon_(2009_film), https://en.wikipedia.org/wiki/The_Benefactor_(film), https://en.wikipedia.org/wiki/The_Last_of_Robin_Hood, https://en.wikipedia.org/wiki/The_Runaways_(film), https://en.wikipedia.org/wiki/The_Twilight_Saga:_Eclipse]",1412881651.0,128000000.0,578440825.5,4.51906894922,6
Kurtwood Smith,Kurtwood Smith,[https://en.wikipedia.org/wiki/RoboCop_(1987_film)],53400000.0,13000000.0,13700000.0,1.05384615385,1
Kevin Dillon,Kevin Dillon,[https://en.wikipedia.org/wiki/Entourage_(film)],49300000.0,39000000.0,-14350000.0,-0.367948717949,1
Jason Schwartzman,Jason Schwartzman,"[https://en.wikipedia.org/wiki/A_Glimpse_Inside_the_Mind_of_Charles_Swan_III, https://en.wikipedia.org/wiki/Big_Eyes, https://en.wikipedia.org/wiki/Listen_Up_Philip, https://en.wikipedia.org/wiki/Moonrise_Kingdom, https://en.wikipedia.org/wiki/Saving_Mr._Banks, https://en.wikipedia.org/wiki/Scott_Pilgrim_vs._the_World]",263200000.0,146000000.0,-14400000.0,-0.0986301369863,6
James Gandolfini,James Gandolfini,"[https://en.wikipedia.org/wiki/Enough_Said_(film), https://en.wikipedia.org/wiki/The_Incredible_Burt_Wonderstone, https://en.wikipedia.org/wiki/Violet_%26_Daisy, https://en.wikipedia.org/wiki/Welcome_to_the_Rileys]",53034568.0,60000000.0,-33482716.0,-0.558045266667,4
Robert Pattinson,Robert Pattinson,"[https://en.wikipedia.org/wiki/Maps_to_the_Stars, https://en.wikipedia.org/wiki/New_Moon_(2009_film), https://en.wikipedia.org/wiki/Remember_Me_(2010_film), https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_-_Part_1, https://en.wikipedia.org/wiki/The_Twilight_Saga:_Eclipse, https://en.wikipedia.org/wiki/Water_for_Elephants_(film)]",2297532889.0,312500000.0,836266444.5,2.6760526224,6
Sally Hawkins,Sally Hawkins,"[https://en.wikipedia.org/wiki/Blue_Jasmine, https://en.wikipedia.org/wiki/Godzilla_(2014_film), https://en.wikipedia.org/wiki/Paddington_(film)]",626600000.0,178000000.0,135300000.0,0.760112359551,3
Will Yun Lee,Will Yun Lee,[https://en.wikipedia.org/wiki/The_Wolverine_(film)],414800000.0,120000000.0,87400000.0,0.728333333333,1
Skandar Keynes,Skandar Keynes,"[https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian, https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Voyage_of_the_Dawn_Treader]",835400000.0,380000000.0,37700000.0,0.0992105263158,2
Christopher Egan,Christopher Egan,"[https://en.wikipedia.org/wiki/Letters_to_Juliet, https://en.wikipedia.org/wiki/Resident_Evil:_Extinction]",227700000.0,75000000.0,38850000.0,0.518,2
Sarah Drew,Sarah Drew,[https://en.wikipedia.org/wiki/Moms%27_Night_Out],10500000.0,5000000.0,250000.0,0.05,1
