director_name,movies,revenues,costs,gross_profit,return,count
,"[https://en.wikipedia.org/wiki/List_of_Marvel_Cinematic_Universe_films, https://en.wikipedia.org/wiki/X-Men_(film_series)]",0,0,0,,2
Jamal Hill[1],[https://en.wikipedia.org/wiki/Brotherly_Love_(2015_film)],478595,1900000,-1660702.5,-0.874053947,1
Tobe Hooper,"[https://en.wikipedia.org/wiki/Poltergeist_(1982_film), https://en.wikipedia.org/wiki/Poltergeist_(1982_film)]",243400000,21400000,100300000,4.686915888,2
Dave Green,"[https://en.wikipedia.org/wiki/Earth_to_Echo, https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows]",290900000,148000000,-2550000,-0.01722973,2
Liev Schreiber,[https://en.wikipedia.org/wiki/Everything_Is_Illuminated_(film)],3601974,7000000,-5199013,-0.742716143,1
John Gulager,[https://en.wikipedia.org/wiki/Piranha_3DD],8500000,5000000,-750000,-0.15,1
George Cukor,[https://en.wikipedia.org/wiki/The_Women_(1939_film)],2270000,1688000,-553000,-0.327606635,1
Richard Rowley,[https://en.wikipedia.org/wiki/Dirty_Wars],0,0,0,,1
Walter Salles,"[https://en.wikipedia.org/wiki/The_Motorcycle_Diaries_(film), https://en.wikipedia.org/wiki/Dark_Water_(2005_film)]",49483352,30000000,-5258324,-0.175277467,2
Preston A. Whitmore II,[https://en.wikipedia.org/wiki/Crossover_(2006_film)],7009668,5800000,-2295166,-0.395718276,1
Paul Lynch,[https://en.wikipedia.org/wiki/Prom_Night_(1980_film)],0,0,0,,1
Francis Lawrence,"[https://en.wikipedia.org/wiki/Constantine_(film), https://en.wikipedia.org/wiki/I_Am_Legend_(film), https://en.wikipedia.org/wiki/Water_for_Elephants_(film), https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire, https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1, https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire]",3418700000,673000000,1036350000,1.539895988,6
Goran DukiÄ‡,[https://en.wikipedia.org/wiki/Wristcutters:_A_Love_Story],454026,1000000,-772987,-0.772987,1
P. J. Hogan,"[https://en.wikipedia.org/wiki/Peter_Pan_(2003_film), https://en.wikipedia.org/wiki/Confessions_of_a_Shopaholic_(film)]",230300000,185000000,-69850000,-0.377567568,2
Henry Hathaway,[https://en.wikipedia.org/wiki/The_Sons_of_Katie_Elder],23000000,6500000,5000000,0.769230769,1
Werner Herzog,"[https://en.wikipedia.org/wiki/Grizzly_Man, https://en.wikipedia.org/wiki/The_Bad_Lieutenant:_Port_of_Call_New_Orleans]",10600000,25000000,-19700000,-0.788,2
Paul Johansson,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I, https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I]",9254750,40000000,-35372625,-0.884315625,2
Robert Aldrich,[https://en.wikipedia.org/wiki/The_Longest_Yard_(1974_film)],43008075,2900000,18604037.5,6.415185345,1
Trevor Wall,[https://en.wikipedia.org/wiki/Norm_of_the_North],27400000,18000000,-4300000,-0.238888889,1
Lee Tamahori,"[https://en.wikipedia.org/wiki/Along_Came_a_Spider_(film), https://en.wikipedia.org/wiki/XXx:_State_of_the_Union, https://en.wikipedia.org/wiki/Die_Another_Day, https://en.wikipedia.org/wiki/Next_(2007_film), https://en.wikipedia.org/wiki/The_Devil%27s_Double]",616100000,284100000,23950000,0.084301302,5
Gary McKendry,[https://en.wikipedia.org/wiki/Killer_Elite_(film)],56300000,70000000,-41850000,-0.597857143,1
Ruben Fleischer,"[https://en.wikipedia.org/wiki/Zombieland, https://en.wikipedia.org/wiki/30_Minutes_or_Less, https://en.wikipedia.org/wiki/Gangster_Squad_(film)]",248100000,126600000,-2550000,-0.02014218,3
John Putch,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II, https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II]",6672106,20000000,-16663947,-0.83319735,2
"Chris KentisLaura Lau",[https://en.wikipedia.org/wiki/Silent_House_(film)],13100000,2000000,4550000,2.275,1
Jeffrey W. Byrd,[https://en.wikipedia.org/wiki/King%27s_Ransom_(film)],4143652,15000000,-12928174,-0.861878267,1
Mick Davis,[https://en.wikipedia.org/wiki/Modigliani_(film)],0,0,0,,1
Kiyoshi Kurosawa,[https://en.wikipedia.org/wiki/Kairo_(film)],0,0,0,,1
Miguel Sapochnik,[https://en.wikipedia.org/wiki/Repo_Men],18409891,32000000,-22795054.5,-0.712345453,1
"John StevensonMark Osborne","[https://en.wikipedia.org/wiki/Kung_Fu_Panda, https://en.wikipedia.org/wiki/Kung_Fu_Panda]",1263400000,260000000,371700000,1.429615385,2
FabiÃ¡n Bielinsky,[https://en.wikipedia.org/wiki/Nine_Queens_(film)],0,0,0,,1
John Erick Dowdle,"[https://en.wikipedia.org/wiki/Quarantine_(2008_film), https://en.wikipedia.org/wiki/Devil_(2010_film), https://en.wikipedia.org/wiki/As_Above,_So_Below_(film), https://en.wikipedia.org/wiki/No_Escape_(2015_film)]",171000000,32000000,53500000,1.671875,4
Kevin Smith,"[https://en.wikipedia.org/wiki/Jay_and_Silent_Bob_Strike_Back, https://en.wikipedia.org/wiki/Clerks, https://en.wikipedia.org/wiki/Jersey_Girl_(2004_film), https://en.wikipedia.org/wiki/Clerks_II, https://en.wikipedia.org/wiki/Clerks, https://en.wikipedia.org/wiki/Zack_and_Miri_Make_a_Porno, https://en.wikipedia.org/wiki/Cop_Out_(2010_film), https://en.wikipedia.org/wiki/Red_State_(2011_film), https://en.wikipedia.org/wiki/Tusk_(2014_film)]",204674460,123055150,-20717920,-0.168362884,9
Katherine Brooks,[https://en.wikipedia.org/wiki/Loving_Annabelle],0,0,0,,1
Bruce McCulloch,[https://en.wikipedia.org/wiki/Stealing_Harvard],14300000,25000000,-17850000,-0.714,1
Kirk Jones,"[https://en.wikipedia.org/wiki/Nanny_McPhee, https://en.wikipedia.org/wiki/Everybody%27s_Fine_(2009_film), https://en.wikipedia.org/wiki/Nanny_McPhee, https://en.wikipedia.org/wiki/What_to_Expect_When_You%27re_Expecting_(film), https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2]",434266093,129000000,88133046.5,0.683201911,5
Francis Glebas,[https://en.wikipedia.org/wiki/Piglet%27s_Big_Movie],62900000,46000000,-14550000,-0.316304348,1
