actor_name,movies,revenues,costs,gross_profit,return,count
Alex Kendrick,"[https://en.wikipedia.org/wiki/Courageous_(film), https://en.wikipedia.org/wiki/The_Lost_Medallion:_The_Adventures_of_Billy_Stone]",35228075,4500000,13114037.5,2.914230556,2
Julianna Guill,[https://en.wikipedia.org/wiki/The_Apparition],9627492,17000000,-12186254,-0.716838471,1
Michael Chiklis,[https://en.wikipedia.org/wiki/High_School_(2012_film)],139034,10000000,-9930483,-0.9930483,1
Gemma Arterton,"[https://en.wikipedia.org/wiki/Clash_of_the_Titans_(2010_film), https://en.wikipedia.org/wiki/Hansel_%26_Gretel:_Witch_Hunters, https://en.wikipedia.org/wiki/Prince_of_Persia:_The_Sands_of_Time_(film), https://en.wikipedia.org/wiki/Runner_Runner_(film), https://en.wikipedia.org/wiki/The_Voices_(film)]",1119044196,366000000,193522098,0.528748902,5
Mimi Rogers,"[https://en.wikipedia.org/wiki/For_a_Good_Time,_Call..., https://en.wikipedia.org/wiki/The_Wedding_Ringer]",81051749,24300000,16225874.5,0.667731461,2
Armie Hammer,"[https://en.wikipedia.org/wiki/J._Edgar, https://en.wikipedia.org/wiki/Mirror_Mirror_(film), https://en.wikipedia.org/wiki/The_Birth_of_a_Nation_(2016_film), https://en.wikipedia.org/wiki/The_Lone_Ranger_(2013_film), https://en.wikipedia.org/wiki/The_Social_Network]",769500000,393500000,-8750000,-0.022236341,5
Oleg Taktarov,[https://en.wikipedia.org/wiki/Officer_Down],0,0,0,,1
Alycia Debnam-Carey,"[https://en.wikipedia.org/wiki/Friend_Request, https://en.wikipedia.org/wiki/Into_the_Storm_(2014_film)]",161700000,50000000,30850000,0.617,2
Lesley Manville,[https://en.wikipedia.org/wiki/Maleficent_(film)],758500000,180000000,199250000,1.106944444,1
Olivia Taylor Dudley,"[https://en.wikipedia.org/wiki/Chernobyl_Diaries, https://en.wikipedia.org/wiki/The_Vatican_Tapes]",50700000,14000000,11350000,0.810714286,2
Amber Riley,[https://en.wikipedia.org/wiki/Glee:_The_3D_Concert_Movie],18700000,9000000,350000,0.038888889,1
