0,director_name,movies,revenues,costs,gross_profit,return,count
,,"[https://en.wikipedia.org/wiki/List_of_Marvel_Cinematic_Universe_films, https://en.wikipedia.org/wiki/X-Men_(film_series)]",0.0,0.0,0.0,,2
Jamal Hill[1],Jamal Hill[1],[https://en.wikipedia.org/wiki/Brotherly_Love_(2015_film)],478595.0,1900000.0,-1660702.5,-0.874053947368,1
Tobe Hooper,Tobe Hooper,"[https://en.wikipedia.org/wiki/Poltergeist_(1982_film), https://en.wikipedia.org/wiki/Poltergeist_(1982_film)]",243400000.0,21400000.0,100300000.0,4.68691588785,2
Dave Green,Dave Green,"[https://en.wikipedia.org/wiki/Earth_to_Echo, https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows]",290900000.0,148000000.0,-2550000.0,-0.0172297297297,2
Liev Schreiber,Liev Schreiber,[https://en.wikipedia.org/wiki/Everything_Is_Illuminated_(film)],3601974.0,7000000.0,-5199013.0,-0.742716142857,1
John Gulager,John Gulager,[https://en.wikipedia.org/wiki/Piranha_3DD],8500000.0,5000000.0,-750000.0,-0.15,1
George Cukor,George Cukor,[https://en.wikipedia.org/wiki/The_Women_(1939_film)],2270000.0,1688000.0,-553000.0,-0.327606635071,1
Richard Rowley,Richard Rowley,[https://en.wikipedia.org/wiki/Dirty_Wars],0.0,0.0,0.0,,1
Walter Salles,Walter Salles,"[https://en.wikipedia.org/wiki/The_Motorcycle_Diaries_(film), https://en.wikipedia.org/wiki/Dark_Water_(2005_film)]",49483352.0,30000000.0,-5258324.0,-0.175277466667,2
Preston A. Whitmore II,Preston A. Whitmore II,[https://en.wikipedia.org/wiki/Crossover_(2006_film)],7009668.0,5800000.0,-2295166.0,-0.395718275862,1
Paul Lynch,Paul Lynch,[https://en.wikipedia.org/wiki/Prom_Night_(1980_film)],0.0,0.0,0.0,,1
Francis Lawrence,Francis Lawrence,"[https://en.wikipedia.org/wiki/Constantine_(film), https://en.wikipedia.org/wiki/I_Am_Legend_(film), https://en.wikipedia.org/wiki/Water_for_Elephants_(film), https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire, https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1, https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire]",3418700000.0,673000000.0,1036350000.0,1.53989598811,6
Goran Dukić,Goran Dukić,[https://en.wikipedia.org/wiki/Wristcutters:_A_Love_Story],454026.0,1000000.0,-772987.0,-0.772987,1
P. J. Hogan,P. J. Hogan,"[https://en.wikipedia.org/wiki/Peter_Pan_(2003_film), https://en.wikipedia.org/wiki/Confessions_of_a_Shopaholic_(film)]",230300000.0,185000000.0,-69850000.0,-0.377567567568,2
Henry Hathaway,Henry Hathaway,[https://en.wikipedia.org/wiki/The_Sons_of_Katie_Elder],23000000.0,6500000.0,5000000.0,0.769230769231,1
Werner Herzog,Werner Herzog,"[https://en.wikipedia.org/wiki/Grizzly_Man, https://en.wikipedia.org/wiki/The_Bad_Lieutenant:_Port_of_Call_New_Orleans]",10600000.0,25000000.0,-19700000.0,-0.788,2
Paul Johansson,Paul Johansson,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I, https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I]",9254750.0,40000000.0,-35372625.0,-0.884315625,2
Robert Aldrich,Robert Aldrich,[https://en.wikipedia.org/wiki/The_Longest_Yard_(1974_film)],43008075.0,2900000.0,18604037.5,6.41518534483,1
Trevor Wall,Trevor Wall,[https://en.wikipedia.org/wiki/Norm_of_the_North],27400000.0,18000000.0,-4300000.0,-0.238888888889,1
Lee Tamahori,Lee Tamahori,"[https://en.wikipedia.org/wiki/Along_Came_a_Spider_(film), https://en.wikipedia.org/wiki/XXx:_State_of_the_Union, https://en.wikipedia.org/wiki/Die_Another_Day, https://en.wikipedia.org/wiki/Next_(2007_film), https://en.wikipedia.org/wiki/The_Devil%27s_Double]",616100000.0,284100000.0,23950000.0,0.0843013023583,5
Gary McKendry,Gary McKendry,[https://en.wikipedia.org/wiki/Killer_Elite_(film)],56300000.0,70000000.0,-41850000.0,-0.597857142857,1
Ruben Fleischer,Ruben Fleischer,"[https://en.wikipedia.org/wiki/Zombieland, https://en.wikipedia.org/wiki/30_Minutes_or_Less, https://en.wikipedia.org/wiki/Gangster_Squad_(film)]",248100000.0,126600000.0,-2550000.0,-0.0201421800948,3
John Putch,John Putch,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II, https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II]",6672106.0,20000000.0,-16663947.0,-0.83319735,2
"Chris Kentis
Laura Lau","Chris Kentis
Laura Lau",[https://en.wikipedia.org/wiki/Silent_House_(film)],13100000.0,2000000.0,4550000.0,2.275,1
Jeffrey W. Byrd,Jeffrey W. Byrd,[https://en.wikipedia.org/wiki/King%27s_Ransom_(film)],4143652.0,15000000.0,-12928174.0,-0.861878266667,1
Mick Davis,Mick Davis,[https://en.wikipedia.org/wiki/Modigliani_(film)],0.0,0.0,0.0,,1
Kiyoshi Kurosawa,Kiyoshi Kurosawa,[https://en.wikipedia.org/wiki/Kairo_(film)],0.0,0.0,0.0,,1
Miguel Sapochnik,Miguel Sapochnik,[https://en.wikipedia.org/wiki/Repo_Men],18409891.0,32000000.0,-22795054.5,-0.712345453125,1
"John Stevenson
Mark Osborne","John Stevenson
Mark Osborne","[https://en.wikipedia.org/wiki/Kung_Fu_Panda, https://en.wikipedia.org/wiki/Kung_Fu_Panda]",1263400000.0,260000000.0,371700000.0,1.42961538462,2
Fabián Bielinsky,Fabián Bielinsky,[https://en.wikipedia.org/wiki/Nine_Queens_(film)],0.0,0.0,0.0,,1
John Erick Dowdle,John Erick Dowdle,"[https://en.wikipedia.org/wiki/Quarantine_(2008_film), https://en.wikipedia.org/wiki/Devil_(2010_film), https://en.wikipedia.org/wiki/As_Above,_So_Below_(film), https://en.wikipedia.org/wiki/No_Escape_(2015_film)]",171000000.0,32000000.0,53500000.0,1.671875,4
Kevin Smith,Kevin Smith,"[https://en.wikipedia.org/wiki/Jay_and_Silent_Bob_Strike_Back, https://en.wikipedia.org/wiki/Clerks, https://en.wikipedia.org/wiki/Jersey_Girl_(2004_film), https://en.wikipedia.org/wiki/Clerks_II, https://en.wikipedia.org/wiki/Clerks, https://en.wikipedia.org/wiki/Zack_and_Miri_Make_a_Porno, https://en.wikipedia.org/wiki/Cop_Out_(2010_film), https://en.wikipedia.org/wiki/Red_State_(2011_film), https://en.wikipedia.org/wiki/Tusk_(2014_film)]",204674460.0,123055150.0,-20717920.0,-0.168362884447,9
Katherine Brooks,Katherine Brooks,[https://en.wikipedia.org/wiki/Loving_Annabelle],0.0,0.0,0.0,,1
Bruce McCulloch,Bruce McCulloch,[https://en.wikipedia.org/wiki/Stealing_Harvard],14300000.0,25000000.0,-17850000.0,-0.714,1
Kirk Jones,Kirk Jones,"[https://en.wikipedia.org/wiki/Nanny_McPhee, https://en.wikipedia.org/wiki/Everybody%27s_Fine_(2009_film), https://en.wikipedia.org/wiki/Nanny_McPhee, https://en.wikipedia.org/wiki/What_to_Expect_When_You%27re_Expecting_(film), https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2]",434266093.0,129000000.0,88133046.5,0.683201910853,5
Francis Glebas,Francis Glebas,[https://en.wikipedia.org/wiki/Piglet%27s_Big_Movie],62900000.0,46000000.0,-14550000.0,-0.316304347826,1
Jonas Åkerlund,Jonas Åkerlund,"[https://en.wikipedia.org/wiki/Spun, https://en.wikipedia.org/wiki/Horsemen_(film)]",0.0,0.0,0.0,,2
Josh Boone,Josh Boone,[https://en.wikipedia.org/wiki/The_Fault_in_Our_Stars_(film)],307200000.0,12000000.0,141600000.0,11.8,1
Jim Kohlberg,Jim Kohlberg,[https://en.wikipedia.org/wiki/The_Music_Never_Stopped],0.0,0.0,0.0,,1
Bille Woodruff,Bille Woodruff,"[https://en.wikipedia.org/wiki/Honey_(2003_film), https://en.wikipedia.org/wiki/Beauty_Shop, https://en.wikipedia.org/wiki/Addicted_(2014_film), https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film)]",127300000.0,53000000.0,10650000.0,0.200943396226,4
Park Chan-wook,Park Chan-wook,[https://en.wikipedia.org/wiki/Stoker_(film)],12100000.0,12000000.0,-5950000.0,-0.495833333333,1
Catherine Hardwicke,Catherine Hardwicke,"[https://en.wikipedia.org/wiki/Thirteen_(2003_film), https://en.wikipedia.org/wiki/Lords_of_Dogtown, https://en.wikipedia.org/wiki/The_Nativity_Story, https://en.wikipedia.org/wiki/Twilight_(2008_film), https://en.wikipedia.org/wiki/Twilight_(2008_film), https://en.wikipedia.org/wiki/Red_Riding_Hood_(2011_film), https://en.wikipedia.org/wiki/Plush_(film)]",946265242.0,180000000.0,293132621.0,1.62851456111,7
David O'Malley[1],David O'Malley[1],[https://en.wikipedia.org/wiki/Kalamazoo%3F],0.0,0.0,0.0,,1
Pauly Shore,Pauly Shore,[https://en.wikipedia.org/wiki/Pauly_Shore_Is_Dead],0.0,0.0,0.0,,1
Kirby Dick,Kirby Dick,[https://en.wikipedia.org/wiki/This_Film_Is_Not_Yet_Rated],0.0,0.0,0.0,,1
Joe Dante[1],Joe Dante[1],[https://en.wikipedia.org/wiki/Looney_Tunes:_Back_in_Action],68500000.0,80000000.0,-45750000.0,-0.571875,1
Rodger Grossman,Rodger Grossman,[https://en.wikipedia.org/wiki/What_We_Do_Is_Secret_(film)],0.0,0.0,0.0,,1
"Malika Zouhali-Worrall
Katherine Fairfax Wright","Malika Zouhali-Worrall
Katherine Fairfax Wright",[https://en.wikipedia.org/wiki/Call_Me_Kuchu],0.0,0.0,0.0,,1
John G. Avildsen,John G. Avildsen,[https://en.wikipedia.org/wiki/Rocky_V],119900000.0,42000000.0,17950000.0,0.427380952381,1
James Keach,James Keach,[https://en.wikipedia.org/wiki/Waiting_for_Forever],25517.0,5000000.0,-4987241.5,-0.9974483,1
Gus Van Sant,Gus Van Sant,"[https://en.wikipedia.org/wiki/Finding_Forrester, https://en.wikipedia.org/wiki/Elephant_(2003_film), https://en.wikipedia.org/wiki/Eric_Deulen, https://en.wikipedia.org/wiki/Last_Days_(film), https://en.wikipedia.org/wiki/Paranoid_Park_(film), https://en.wikipedia.org/wiki/Milk_(film), https://en.wikipedia.org/wiki/Restless_(2011_film)]",159313029.0,80000000.0,-343485.5,-0.00429356875,7
Gary David Goldberg,Gary David Goldberg,[https://en.wikipedia.org/wiki/Must_Love_Dogs],58405313.0,30000000.0,-797343.5,-0.0265781166667,1
Neil Barsky,Neil Barsky,[https://en.wikipedia.org/wiki/Koch_(film)],0.0,0.0,0.0,,1
"


Corey Yuen
Louis Leterrier (artistic director)


","


Corey Yuen
Louis Leterrier (artistic director)


","[https://en.wikipedia.org/wiki/The_Transporter, https://en.wikipedia.org/wiki/The_Transporter]",87800000.0,48000000.0,-4100000.0,-0.0854166666667,2
Todd Holland,Todd Holland,[https://en.wikipedia.org/wiki/Firehouse_Dog],0.0,0.0,0.0,,1
Stefen Fangmeier,Stefen Fangmeier,[https://en.wikipedia.org/wiki/Eragon_(film)],249500000.0,100000000.0,24750000.0,0.2475,1
