length,based_on,box_office,budget,cinematography,country,director,distributor,editor,language,music,narration,producer,screenplay,starring,story,written_by,site,title,studio,revenues,check_rev,costs,check_costs,release_dates,release_year,release_month,release_day,stars_list,directors_list

112 minutes[2],"Scott Pilgrim
by Bryan Lee O'Malley",$47.7 million[5][8],"$85â€“90 million[5][6][7]
$60 million after tax rebates[8]",Bill Pope,"


United Kingdom[3]
Japan[3]
United States[3][4]


",Edgar Wright,Universal Pictures,"


Jonathan Amos
Paul Machliss


",English,Nigel Godrich,,"


Eric Gitter
Nira Park
Marc Platt
Edgar Wright


","


Michael Bacall
Edgar Wright


","


Michael Cera
Mary Elizabeth Winstead
Kieran Culkin
Chris Evans
Anna Kendrick
Brie Larson
Alison Pill
Ellen Wong
Brandon Routh
Jason Schwartzman


",,,https://en.wikipedia.org/wiki/Scott_Pilgrim_vs._the_World,Scott Pilgrim vs. the World,"
Big Talk Films
",47700000,<type 'float'>,85000000,<type 'float'>,"[2010-07-27 00:00:00, 2010-08-13 00:00:00, 2010-08-25 00:00:00, 2011-04-29 00:00:00]",2011,4,29-Apr,"[[, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ], [, , , Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Ellen Wong, Brandon Routh, Jason Schwartzman, , , ]]",[[Edgar Wright]]

123 minutes,,$60.3 million[2],$35 million[1][2],Dean Semler,United States,Randall Wallace,"Walt Disney Studios
Motion Pictures",John Wright,English,Nick Glennie-Smith,,"Mark Ciardi
Gordon Gray",,"


Diane Lane
John Malkovich
Margo Martindale
Dylan Walsh
James Cromwell
Kevin Connolly
Scott Glenn


",,"Mike Rich
Sheldon Turner",https://en.wikipedia.org/wiki/Secretariat_(film),Secretariat,"
Walt Disney Pictures
Mayhem Pictures
",60300000,<type 'float'>,35000000,<type 'float'>,"[2010-09-30 00:00:00, 2010-10-08 00:00:00]",2010,10,8-Oct,"[[, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ], [, , , Diane Lane, John Malkovich, Margo Martindale, Dylan Walsh, James Cromwell, Kevin Connolly, Scott Glenn, , , ]]",[[Randall Wallace]]

146 minutes[1],"Characters
by Candace Bushnell",$294.6 million[3],$95 million[2][3],John Thomas,United States,Michael Patrick King,New Line Cinema,Michael Berenbaum,English,Aaron Zigman,,"


Michael Patrick King
John Melfi
Sarah Jessica Parker
Darren Star


",Michael Patrick King,"


Sarah Jessica Parker
Kim Cattrall
Kristin Davis
Cynthia Nixon


",Darren Star,,https://en.wikipedia.org/wiki/Sex_and_the_City_2,Sex and the City 2,"



HBO Films
Village Roadshow Pictures



",294600000,<type 'float'>,95000000,<type 'float'>,[2010-05-27 00:00:00],2010,5,27-May,"[[, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, , , ]]",[[Michael Patrick King]]

145 minutes[1],"


Sex and the City
by Candace Bushnell
Sex and the City
by Darren Star


",$415.2 million,$65 million,John Thomas,United States,Michael Patrick King,"


United States:
New Line Cinema
International:
Warner Bros. Pictures


",Michael Berenbaum,English,Aaron Zigman,Sarah Jessica Parker,"


Michael Patrick King
John Melfi
Sarah Jessica Parker
Darren Star


",,"


Sarah Jessica Parker
Kim Cattrall
Kristin Davis
Cynthia Nixon
Chris Noth
Jennifer Hudson
Candice Bergen


",,Michael Patrick King,https://en.wikipedia.org/wiki/Sex_and_the_City:_The_Movie,Sex and the City,"
HBO Films
",415200000,<type 'float'>,65000000,<type 'float'>,"[2008-05-12 00:00:00, 2008-05-30 00:00:00]",2008,5,30-May,"[[, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ], [, , , Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, Candice Bergen, , , ]]",[[Michael Patrick King]]

104 minutes,,$49.8 million[2],$20 million[1],Jim Deanult,United States,Jim Field Smith,Paramount Pictures,Dan Schalk,English,Michael Andrews,,"


Jimmy Miller
David Householter


",,"


Jay Baruchel
Alice Eve
Mike Vogel
T.J. Miller
Nate Torrence
Krysten Ritter
Geoff Stults
Lindsay Sloane


",,"


Sean Anders
John Morris


",https://en.wikipedia.org/wiki/She%27s_Out_of_My_League,She's Out of My League,"



DreamWorks Pictures
Mosaic Media Group



",49800000,<type 'float'>,20000000,<type 'float'>,[2010-03-12 00:00:00],2010,3,12-Mar,"[[, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ], [, , , Jay Baruchel, Alice Eve, Mike Vogel, T.J. Miller, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, , , ]]",[[Jim Field Smith]]

93 minutes,"Characters
by William Steig",$752.6 million[3],$135[1][2]â€“$165[3] million,Yong Duk Jhun,United States,Mike Mitchell,Paramount Pictures,Nick Fletcher,English,Harry Gregson-Williams,,"


Gina Shay
Teresa Cheng


",,"


Mike Myers
Eddie Murphy
Cameron Diaz
Antonio Banderas
Julie Andrews
John Cleese
Walt Dohrn


",,"


Josh Klausner
Darren Lemke


",https://en.wikipedia.org/wiki/Shrek_Forever_After,Shrek Forever After,"



DreamWorks Animation
Pacific Data Images



",752600000,<type 'float'>,135000000,<type 'float'>,"[2010-04-21 00:00:00, 2010-05-21 00:00:00]",2010,5,21-May,"[[, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Walt Dohrn, , , ]]",[[Mike Mitchell]]

93 minutes,"Characters created
by William Steig",$799 million[1],$160 million[1],,United States,"


Chris Miller
Raman Hui (co-director)


",Paramount Pictures1,"


Joyce Arrastia
Michael Andrews


",English,Harry Gregson-Williams,,"


Aron Warner
Denise Nolan Cascino


","


Jeffrey Price
Peter S. Seaman
Chris Miller
Aron Warner


","


Mike Myers
Eddie Murphy
Cameron Diaz
Antonio Banderas
Julie Andrews
John Cleese
Rupert Everett
Eric Idle
Justin Timberlake


",Andrew Adamson,,https://en.wikipedia.org/wiki/Shrek_the_Third,Shrek the Third,"



DreamWorks Animation
Pacific Data Images



",799000000,<type 'float'>,160000000,<type 'float'>,"[2007-05-06 00:00:00, 2007-05-18 00:00:00]",2007,5,18-May,"[[, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ], [, , , Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, , , ]]","[[, , , Chris Miller, Raman Hui (co-director), , , ], [, , , Chris Miller, Raman Hui (co-director), , , ], [, , , Chris Miller, Raman Hui (co-director), , , ], [, , , Chris Miller, Raman Hui (co-director), , , ], [, , , Chris Miller, Raman Hui (co-director), , , ], [, , , Chris Miller, Raman Hui (co-director), , , ], [, , , Chris Miller, Raman Hui (co-director), , , ], [, , , Chris Miller, Raman Hui (co-director), , , ]]"

138 minutes,"Shutter Island
by Dennis Lehane",$294.8 million[2],$80 million[1],Robert Richardson,United States,Martin Scorsese,Paramount Pictures,Thelma Schoonmaker,English,,,"


Mike Medavoy
Arnold W. Messer
Bradley J. Fischer
Martin Scorsese


",Laeta Kalogridis,"


Leonardo DiCaprio
Mark Ruffalo
Ben Kingsley
Michelle Williams
Emily Mortimer
Patricia Clarkson
Max von Sydow


",,,https://en.wikipedia.org/wiki/Shutter_Island_(film),Shutter Island,"



Appian Way Productions
Phoenix Pictures



",294800000,<type 'float'>,80000000,<type 'float'>,[2010-02-19 00:00:00],2010,2,19-Feb,"[[, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ], [, , , Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer, Patricia Clarkson, Max von Sydow, , , ]]",[[Martin Scorsese]]

94 minutes,,"$78,693,371[3]",$10â€“20Â million[1][2],Michael Watson,United States,The Brothers Strause,"Universal Pictures
IM Global (UK)",Nicholas Wayman-Harris,English,Matthew Margeson,,"


The Brothers Strause
Kristian Andresen
Liam O'Donnell


",,"


Eric Balfour
Scottie Thompson
Brittany Daniel
Crystal Reed
David Zayas
Donald Faison


",,"


Joshua Cordes
Liam O'Donnell


",https://en.wikipedia.org/wiki/Skyline_(film),Skyline,"



Rogue
Relativity Media
Hydraulx Entertainment
Transmission
Rat Entertainment



",78693371,<type 'float'>,10000000,<type 'float'>,"[2010-11-11 00:00:00, 2010-11-12 00:00:00]",2010,11,12-Nov,"[[, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ], [, , , Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, David Zayas, Donald Faison, , , ]]",[[The Brothers Strause]]

120 minutes[1],"The Accidental Billionaires
by Ben Mezrich",$224.9 million[2],$40 million[2],Jeff Cronenweth,United States,David Fincher,Columbia Pictures,"


Angus Wall
Kirk Baxter


",English,"


Trent Reznor
Atticus Ross


",,"


Scott Rudin
Dana Brunetti
Michael De Luca
CeÃ¡n Chaffin


",Aaron Sorkin,"


Jesse Eisenberg
Andrew Garfield
Justin Timberlake
Armie Hammer
Max Minghella


",,,https://en.wikipedia.org/wiki/The_Social_Network,The Social Network,"



Relativity Media
Scott Rudin Productions
Michael De Luca Productions
Trigger Street Productions



",224900000,<type 'float'>,40000000,<type 'float'>,"[2010-09-24 00:00:00, 2010-10-01 00:00:00]",2010,10,1-Oct,"[[, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ], [, , , Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, , , ]]",[[David Fincher]]

90 minutes,,"$5,024,782 ",$15 million[1],Alwin H. KÃ_chler,United States,"Brian Koppelman
David Levien","Millennium Films
Smartest Man Productions",Tricia Cooke,English,Michael Penn,,"Moshi Diamont
Danny Dimbort
Joe Gatta
Steven Soderbergh",,"Michael Douglas
Jenna Fischer
Jesse Eisenberg
Mary-Louise Parker
Imogen Poots
Susan Sarandon
Danny DeVito",,Brian Koppelman,https://en.wikipedia.org/wiki/Solitary_Man_(film),Solitary Man,,5024782,<type 'float'>,15000000,<type 'float'>,[2010-05-07 00:00:00],2010,5,7-May,"[[Michael Douglas, Jenna Fischer, Jesse Eisenberg, Mary-Louise Parker, Imogen Poots, Susan Sarandon, Danny DeVito], [Michael Douglas, Jenna Fischer, Jesse Eisenberg, Mary-Louise Parker, Imogen Poots, Susan Sarandon, Danny DeVito], [Michael Douglas, Jenna Fischer, Jesse Eisenberg, Mary-Louise Parker, Imogen Poots, Susan Sarandon, Danny DeVito], [Michael Douglas, Jenna Fischer, Jesse Eisenberg, Mary-Louise Parker, Imogen Poots, Susan Sarandon, Danny DeVito], [Michael Douglas, Jenna Fischer, Jesse Eisenberg, Mary-Louise Parker, Imogen Poots, Susan Sarandon, Danny DeVito], [Michael Douglas, Jenna Fischer, Jesse Eisenberg, Mary-Louise Parker, Imogen Poots, Susan Sarandon, Danny DeVito], [Michael Douglas, Jenna Fischer, Jesse Eisenberg, Mary-Louise Parker, Imogen Poots, Susan Sarandon, Danny DeVito]]","[[Brian Koppelman, David Levien], [Brian Koppelman, David Levien]]"

98 minutes[1],,$13.9 million[2],$7 million[2],Harris Savides,United States,Sofia Coppola,Focus Features,Sarah Flack,English,Phoenix,,"G. Mac Brown
Roman Coppola
Sofia Coppola",,"Stephen Dorff
Elle Fanning
Michelle Monaghan",,Sofia Coppola,https://en.wikipedia.org/wiki/Somewhere_(2010_film),Somewhere,"
PathÃ© Distribution
