actor_name,actor_name,movies,revenues,costs,gross_profit,return,count
Busta Rhymes,Busta Rhymes,"[https://en.wikipedia.org/wiki/Finding_Forrester, https://en.wikipedia.org/wiki/Halloween:_Resurrection, https://en.wikipedia.org/wiki/Narc_(film)]",130249764.0,62500000.0,2624882.0,0.041998112,3
Neil Flynn,Neil Flynn,[https://en.wikipedia.org/wiki/Hoot_(film)],8224998.0,15000000.0,-10887501.0,-0.7258334,1
Yvan Attal,Yvan Attal,[https://en.wikipedia.org/wiki/Anthony_Zimmer],0.0,0.0,0.0,,1
Riley Griffiths,Riley Griffiths,[https://en.wikipedia.org/wiki/Super_8_(film)],260100000.0,50000000.0,80050000.0,1.601,1
Jesse L. Martin,Jesse L. Martin,[https://en.wikipedia.org/wiki/Rent_(film)],31600000.0,40000000.0,-24200000.0,-0.605,1
Pauly Shore,Pauly Shore,[https://en.wikipedia.org/wiki/Pauly_Shore_Is_Dead],0.0,0.0,0.0,,1
Rafi Gavron,Rafi Gavron,[https://en.wikipedia.org/wiki/Inkheart_(film)],62450361.0,60000000.0,-28774819.5,-0.479580325,1
Bobby Campo,Bobby Campo,[https://en.wikipedia.org/wiki/The_Final_Destination],186200000.0,40000000.0,53100000.0,1.3275,1
Victor Webster,Victor Webster,[https://en.wikipedia.org/wiki/Dirty_Love_(film)],0.0,0.0,0.0,,1
Michael Constantine,Michael Constantine,"[https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding, https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2]",457600000.0,23000000.0,205800000.0,8.94782608696,2
"Shad ""Bow Wow"" Moss","Shad ""Bow Wow"" Moss",[https://en.wikipedia.org/wiki/Madea%27s_Big_Happy_Family_(film)],54161287.0,25000000.0,2080643.5,0.08322574,1
Anne Bancroft,Anne Bancroft,"[https://en.wikipedia.org/wiki/Delgo_(film), https://en.wikipedia.org/wiki/Fathom_Studios, https://en.wikipedia.org/wiki/Heartbreakers_(2001_film), https://en.wikipedia.org/wiki/Keeping_the_Faith]",119488088.0,144000000.0,-84255956.0,-0.585110805556,4
Alex Garfin,Alex Garfin,[https://en.wikipedia.org/wiki/The_Peanuts_Movie],246200000.0,99000000.0,24100000.0,0.243434343434,1
Scott Patrick Green,Scott Patrick Green,"[https://en.wikipedia.org/wiki/Last_Days_(film), https://en.wikipedia.org/wiki/Paranoid_Park_(film)]",4500000.0,3000000.0,-750000.0,-0.25,2
Jason O'Mara,Jason O'Mara,"[https://en.wikipedia.org/wiki/One_for_the_Money_(film), https://en.wikipedia.org/wiki/Resident_Evil:_Extinction]",184600000.0,85000000.0,7300000.0,0.0858823529412,2
Breckin Meyer,Breckin Meyer,"[https://en.wikipedia.org/wiki/3_Geezers!, https://en.wikipedia.org/wiki/Garfield:_A_Tail_of_Two_Kitties, https://en.wikipedia.org/wiki/Garfield:_The_Movie, https://en.wikipedia.org/wiki/Ghosts_of_Girlfriends_Past, https://en.wikipedia.org/wiki/Herbie:_Fully_Loaded, https://en.wikipedia.org/wiki/Kate_%26_Leopold, https://en.wikipedia.org/wiki/Rat_Race_(film), https://en.wikipedia.org/wiki/Rebound_(2005_film), https://en.wikipedia.org/wiki/Road_Trip_(film)]",785419048.0,305100000.0,87609524.0,0.287150193379,9
Anna Paquin,Anna Paquin,"[https://en.wikipedia.org/wiki/25th_Hour, https://en.wikipedia.org/wiki/Almost_Famous, https://en.wikipedia.org/wiki/Buffalo_Soldiers_(2001_film), https://en.wikipedia.org/wiki/Darkness_(2002_film), https://en.wikipedia.org/wiki/Finding_Forrester, https://en.wikipedia.org/wiki/Margaret_(2011_film), https://en.wikipedia.org/wiki/Straight_A%27s, https://en.wikipedia.org/wiki/The_Good_Dinosaur, https://en.wikipedia.org/wiki/The_Romantics_(film), https://en.wikipedia.org/wiki/The_Squid_and_the_Whale, https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past, https://en.wikipedia.org/wiki/X-Men:_The_Last_Stand, https://en.wikipedia.org/wiki/X-Men_(film), https://en.wikipedia.org/wiki/X2_(film)]",2448541222.0,925600000.0,298670611.0,0.322677842481,14
Samantha Morton,Samantha Morton,"[https://en.wikipedia.org/wiki/Control_(2007_film), https://en.wikipedia.org/wiki/John_Carter_(film), https://en.wikipedia.org/wiki/Lassie_(2005_film), https://en.wikipedia.org/wiki/Minority_Report_(film), https://en.wikipedia.org/wiki/Mister_Lonely, https://en.wikipedia.org/wiki/The_Messenger_(2009_film)]",653315074.0,373100000.0,-46442463.0,-0.124477252747,6
M.C. Gainey,M.C. Gainey,[https://en.wikipedia.org/wiki/Stolen_(2012_film)],17967746.0,35000000.0,-26016127.0,-0.743317914286,1
Katee Sackhoff,Katee Sackhoff,"[https://en.wikipedia.org/wiki/Oculus_(film), https://en.wikipedia.org/wiki/Riddick_(film), https://en.wikipedia.org/wiki/The_Haunting_in_Connecticut_2:_Ghosts_of_Georgia, https://en.wikipedia.org/wiki/White_Noise:_The_Light]",153202965.0,54500000.0,22101482.5,0.405531788991,4
James Caan,James Caan,"[https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_(film), https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2, https://en.wikipedia.org/wiki/Detachment_(film), https://en.wikipedia.org/wiki/Elf_(film), https://en.wikipedia.org/wiki/Get_Smart_(film), https://en.wikipedia.org/wiki/Middle_Men_(film), https://en.wikipedia.org/wiki/The_Way_of_the_Gun, https://en.wikipedia.org/wiki/The_Yards]",983113393.0,343500000.0,148056696.5,0.431023861718,8
Nikolaj Lie Kaas,Nikolaj Lie Kaas,[https://en.wikipedia.org/wiki/Angels_%26_Demons_(film)],485900000.0,150000000.0,92950000.0,0.619666666667,1
Jake La Botz,Jake La Botz,[https://en.wikipedia.org/wiki/Rambo_(2008_film)],113200000.0,50000000.0,6600000.0,0.132,1
James Blackwell,James Blackwell,[https://en.wikipedia.org/wiki/Facing_the_Giants],10243159.0,100000.0,5021579.5,50.215795,1
Lisa Spoonhauer,Lisa Spoonhauer,[https://en.wikipedia.org/wiki/Clerks],3200000.0,27575.0,1572425.0,57.0235720762,1
R. A. Mihailoff,R. A. Mihailoff,[https://en.wikipedia.org/wiki/Hatchet_II],0.0,0.0,0.0,,1
David Spade,David Spade,"[https://en.wikipedia.org/wiki/Dickie_Roberts:_Former_Child_Star, https://en.wikipedia.org/wiki/Grown_Ups_(2010_film), https://en.wikipedia.org/wiki/Grown_Ups_(film), https://en.wikipedia.org/wiki/Grown_Ups_2, https://en.wikipedia.org/wiki/Hotel_Transylvania, https://en.wikipedia.org/wiki/Joe_Dirt, https://en.wikipedia.org/wiki/Racing_Stripes, https://en.wikipedia.org/wiki/The_Benchwarmers, https://en.wikipedia.org/wiki/The_Emperor%27s_New_Groove]",1528100000.0,522700000.0,241350000.0,0.461737134111,9
Jeffrey Skilling,Jeffrey Skilling,[https://en.wikipedia.org/wiki/Enron:_The_Smartest_Guys_in_the_Room],4900000.0,700000.0,1750000.0,2.5,1
Joe Viterelli,Joe Viterelli,"[https://en.wikipedia.org/wiki/Analyze_That, https://en.wikipedia.org/wiki/Analyze_This, https://en.wikipedia.org/wiki/See_Spot_Run]",274960657.0,156000000.0,-18519671.5,-0.118715842949,3
Sam Elliott,Sam Elliott,"[https://en.wikipedia.org/wiki/Barnyard_(film), https://en.wikipedia.org/wiki/Did_You_Hear_About_the_Morgans%3F, https://en.wikipedia.org/wiki/Draft_Day, https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film), https://en.wikipedia.org/wiki/Hulk_(film), https://en.wikipedia.org/wiki/Thank_You_for_Smoking_(film), https://en.wikipedia.org/wiki/The_Contender_(2000_film), https://en.wikipedia.org/wiki/The_Golden_Compass_(film), https://en.wikipedia.org/wiki/The_Good_Dinosaur, https://en.wikipedia.org/wiki/We_Were_Soldiers]",1585922595.0,841000000.0,-48038702.5,-0.05712093044,10
Gloria Foster,Gloria Foster,[https://en.wikipedia.org/wiki/The_Matrix_Reloaded],742100000.0,127000000.0,244050000.0,1.92165354331,1
Brian Boland,Brian Boland,[https://en.wikipedia.org/wiki/Paranormal_Activity_2],177500000.0,3000000.0,85750000.0,28.5833333333,1
Chris Massoglia,Chris Massoglia,"[https://en.wikipedia.org/wiki/Cirque_du_Freak:_The_Vampire%27s_Assistant, https://en.wikipedia.org/wiki/The_Hole_(2009_film)]",49594898.0,52000000.0,-27202551.0,-0.523125980769,2
Roxane Mesquida,Roxane Mesquida,"[https://en.wikipedia.org/wiki/Kaboom_(film), https://en.wikipedia.org/wiki/Kiss_of_the_Damned]",0.0,0.0,0.0,,2
Miguel Angel Suarez,Miguel Angel Suarez,[https://en.wikipedia.org/wiki/Under_Suspicion_(2000_film)],260562.0,25000000.0,-24869719.0,-0.99478876,1
Thandie Newton,Thandie Newton,"[https://en.wikipedia.org/wiki/2012_(film), https://en.wikipedia.org/wiki/Crash_(2004_film), https://en.wikipedia.org/wiki/For_Colored_Girls, https://en.wikipedia.org/wiki/Good_Deeds, https://en.wikipedia.org/wiki/Mission:_Impossible_II, https://en.wikipedia.org/wiki/Norbit, https://en.wikipedia.org/wiki/The_Chronicles_of_Riddick, https://en.wikipedia.org/wiki/The_Pursuit_of_Happyness, https://en.wikipedia.org/wiki/The_Truth_About_Charlie, https://en.wikipedia.org/wiki/W._(film)]",2106900000.0,671600000.0,381850000.0,0.568567599762,10
Eriq La Salle,Eriq La Salle,[https://en.wikipedia.org/wiki/One_Hour_Photo],52200000.0,12000000.0,14100000.0,1.175,1
Christina Milian,Christina Milian,"[https://en.wikipedia.org/wiki/Baggage_Claim_(film), https://en.wikipedia.org/wiki/Be_Cool, https://en.wikipedia.org/wiki/Love_Don%27t_Cost_a_Thing_(film), https://en.wikipedia.org/wiki/Pulse_(2006_film)]",147564194.0,82000000.0,-8217903.0,-0.100218329268,4
Jay Leno,Jay Leno,[https://en.wikipedia.org/wiki/Igor_(film)],30700000.0,25000000.0,-9650000.0,-0.386,1
Emma Stone,Emma Stone,"[https://en.wikipedia.org/wiki/Aloha_(film), https://en.wikipedia.org/wiki/Crazy,_Stupid,_Love., https://en.wikipedia.org/wiki/Easy_A, https://en.wikipedia.org/wiki/Gangster_Squad_(film), https://en.wikipedia.org/wiki/Ghosts_of_Girlfriends_Past, https://en.wikipedia.org/wiki/La_La_Land_(film), https://en.wikipedia.org/wiki/Magic_in_the_Moonlight, https://en.wikipedia.org/wiki/Marmaduke_(film), https://en.wikipedia.org/wiki/Movie_43, https://en.wikipedia.org/wiki/Paper_Man_(2009_film), https://en.wikipedia.org/wiki/Superbad_(film), https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(2012_film), https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_2, https://en.wikipedia.org/wiki/The_Croods, https://en.wikipedia.org/wiki/The_Help_(film), https://en.wikipedia.org/wiki/The_House_Bunny, https://en.wikipedia.org/wiki/The_Rocker_(film), https://en.wikipedia.org/wiki/Zombieland]",3571500000.0,961400000.0,824350000.0,0.857447472436,18
Lance Crouther,Lance Crouther,[https://en.wikipedia.org/wiki/Pootie_Tang],3300000.0,7000000.0,-5350000.0,-0.764285714286,1
Stephen Amell,Stephen Amell,[https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows],245600000.0,135000000.0,-12200000.0,-0.0903703703704,1
Marley Shelton,Marley Shelton,"[https://en.wikipedia.org/wiki/Bubble_Boy_(film), https://en.wikipedia.org/wiki/Grindhouse_(film), https://en.wikipedia.org/wiki/Scream_4, https://en.wikipedia.org/wiki/Sugar_%26_Spice, https://en.wikipedia.org/wiki/Uptown_Girls, https://en.wikipedia.org/wiki/Valentine_(film)]",225708947.0,163000000.0,-50145526.5,-0.307641266871,6
Nate Torrence,Nate Torrence,"[https://en.wikipedia.org/wiki/She%27s_Out_of_My_League, https://en.wikipedia.org/wiki/Zootopia]",1073800000.0,170000000.0,366900000.0,2.15823529412,2
Thelma Ritter,Thelma Ritter,[https://en.wikipedia.org/wiki/Rear_Window],36800000.0,1000000.0,17400000.0,17.4,1
Noomi Rapace,Noomi Rapace,"[https://en.wikipedia.org/wiki/Child_44_(film), https://en.wikipedia.org/wiki/Dead_Man_Down, https://en.wikipedia.org/wiki/Prometheus_(2012_film), https://en.wikipedia.org/wiki/Sherlock_Holmes:_A_Game_of_Shadows]",966900000.0,275000000.0,208450000.0,0.758,4
Ambyr Childers,Ambyr Childers,[https://en.wikipedia.org/wiki/We_Are_What_We_Are_(2013_film)],0.0,0.0,0.0,,1
Robert Ri'chard,Robert Ri'chard,[https://en.wikipedia.org/wiki/The_Comebacks],13539154.0,20000000.0,-13230423.0,-0.66152115,1
Stanley Tucci,Stanley Tucci,"[https://en.wikipedia.org/wiki/Burlesque_(2010_musical_film), https://en.wikipedia.org/wiki/Captain_America:_The_First_Avenger, https://en.wikipedia.org/wiki/Easy_A, https://en.wikipedia.org/wiki/Gambit_(2012_film), https://en.wikipedia.org/wiki/Jack_the_Giant_Slayer, https://en.wikipedia.org/wiki/Joe_Gould%27s_Secret_(film), https://en.wikipedia.org/wiki/Julie_%26_Julia, https://en.wikipedia.org/wiki/Kit_Kittredge:_An_American_Girl, https://en.wikipedia.org/wiki/Lucky_Number_Slevin, https://en.wikipedia.org/wiki/Margin_Call_(film), https://en.wikipedia.org/wiki/Percy_Jackson:_Sea_of_Monsters, https://en.wikipedia.org/wiki/Road_to_Perdition, https://en.wikipedia.org/wiki/Shall_We_Dance%3F_(2004_film), https://en.wikipedia.org/wiki/Sidewalks_of_New_York_(2001_film), https://en.wikipedia.org/wiki/Some_Velvet_Morning_(film), https://en.wikipedia.org/wiki/Space_Chimps, https://en.wikipedia.org/wiki/Swing_Vote_(2008_film), https://en.wikipedia.org/wiki/The_Core, https://en.wikipedia.org/wiki/The_Devil_Wears_Prada_(film), https://en.wikipedia.org/wiki/The_Fifth_Estate_(film), https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire, https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1, https://en.wikipedia.org/wiki/The_Hunger_Games_(film), https://en.wikipedia.org/wiki/The_Lovely_Bones_(film), https://en.wikipedia.org/wiki/The_Terminal, https://en.wikipedia.org/wiki/Transformers:_Age_of_Extinction, https://en.wikipedia.org/wiki/What_Just_Happened, https://en.wikipedia.org/wiki/Wild_Card_(2015_film)]",5749516612.0,1624500000.0,1250258306.0,0.769626534934,28
Maritza Cabrera,Maritza Cabrera,[https://en.wikipedia.org/wiki/The_Merry_Gentleman],0.0,0.0,0.0,,1
Michael Bolten,Michael Bolten,"[https://en.wikipedia.org/wiki/Letters_to_God, https://en.wikipedia.org/wiki/Possibility_Pictures]",5817786.0,6000000.0,-3091107.0,-0.5151845,2
Andrew Caldwell,Andrew Caldwell,[https://en.wikipedia.org/wiki/College_(2008_film)],6265483.0,7000000.0,-3867258.5,-0.5524655,1
Kevin Chamberlin,Kevin Chamberlin,[https://en.wikipedia.org/wiki/Suspect_Zero],11416075.0,27000000.0,-21291962.5,-0.788591203704,1
Wendy Raquel Robinson,Wendy Raquel Robinson,"[https://en.wikipedia.org/wiki/35_and_Ticking, https://en.wikipedia.org/wiki/Rebound_(2005_film)]",17500000.0,33100000.0,-24350000.0,-0.735649546828,2
Sean Gunn,Sean Gunn,"[https://en.wikipedia.org/wiki/Super_(2010_American_film), https://en.wikipedia.org/wiki/The_Specials_(film)]",435894.0,3500000.0,-3282053.0,-0.937729428571,2
Katey Sagal,Katey Sagal,[https://en.wikipedia.org/wiki/Pitch_Perfect_2],287500000.0,29000000.0,114750000.0,3.95689655172,1
Nelson Vargas,Nelson Vargas,[https://en.wikipedia.org/wiki/The_Game_of_Their_Lives_(2005_film)],388998.0,13000000.0,-12805501.0,-0.985038538462,1
Troy Garity,Troy Garity,"[https://en.wikipedia.org/wiki/Barbershop_(film), https://en.wikipedia.org/wiki/Barbershop_2:_Back_in_Business, https://en.wikipedia.org/wiki/Sunshine_(2007_film)]",175063924.0,82000000.0,5531962.0,0.0674629512195,3
Henry Thomas,Henry Thomas,"[https://en.wikipedia.org/wiki/All_the_Pretty_Horses_(film), https://en.wikipedia.org/wiki/Dear_John_(2010_film), https://en.wikipedia.org/wiki/Gangs_of_New_York, https://en.wikipedia.org/wiki/Ouija:_Origin_of_Evil, https://en.wikipedia.org/wiki/The_Last_Sin_Eater_(film)]",408888390.0,193200000.0,11244195.0,0.0581997670807,5
Mary Kay Place,Mary Kay Place,"[https://en.wikipedia.org/wiki/City_of_Ember, https://en.wikipedia.org/wiki/Lonesome_Jim, https://en.wikipedia.org/wiki/Nine_Lives_(2005_film), https://en.wikipedia.org/wiki/Smashed_(film), https://en.wikipedia.org/wiki/Sweet_Home_Alabama_(film), https://en.wikipedia.org/wiki/The_Safety_of_Objects, https://en.wikipedia.org/wiki/Youth_in_Revolt_(film)]",220388556.0,104500000.0,5694278.0,0.0544906985646,7
Cynthia Stevenson,Cynthia Stevenson,"[https://en.wikipedia.org/wiki/Agent_Cody_Banks, https://en.wikipedia.org/wiki/Agent_Cody_Banks_2:_Destination_London, https://en.wikipedia.org/wiki/Full_of_It, https://en.wikipedia.org/wiki/Happiness_(1998_film)]",90307390.0,57000000.0,-11846305.0,-0.207829912281,4
Debra Jo Rupp,Debra Jo Rupp,"[https://en.wikipedia.org/wiki/Kickin%27_It_Old_Skool, https://en.wikipedia.org/wiki/Teacher%27s_Pet_(2004_film)]",11200000.0,35700000.0,-30100000.0,-0.843137254902,2
Riz Ahmed,Riz Ahmed,"[https://en.wikipedia.org/wiki/Jason_Bourne_(film), https://en.wikipedia.org/wiki/Nightcrawler_(film)]",465800000.0,128500000.0,104400000.0,0.812451361868,2
Paul Rae,Paul Rae,"[https://en.wikipedia.org/wiki/Daddy_Day_Camp, https://en.wikipedia.org/wiki/Texas_Chainsaw_3D]",65400000.0,21100000.0,11600000.0,0.549763033175,2
Jackie Earle Haley,Jackie Earle Haley,"[https://en.wikipedia.org/wiki/A_Nightmare_on_Elm_Street_(2010_film), https://en.wikipedia.org/wiki/All_the_King%27s_Men_(2006_film), https://en.wikipedia.org/wiki/Dark_Shadows_(film), https://en.wikipedia.org/wiki/Fragments_(film), https://en.wikipedia.org/wiki/Little_Children_(film), https://en.wikipedia.org/wiki/London_Has_Fallen, https://en.wikipedia.org/wiki/Parkland_(film), https://en.wikipedia.org/wiki/The_Bad_News_Bears, https://en.wikipedia.org/wiki/The_Birth_of_a_Nation_(2016_film), https://en.wikipedia.org/wiki/Watchmen_(film), https://en.wikipedia.org/wiki/Winged_Creatures_(film)]",837061963.0,483500000.0,-64969018.5,-0.134372323681,11
Carly Pope,Carly Pope,"[https://en.wikipedia.org/wiki/Itty_Bitty_Titty_Committee, https://en.wikipedia.org/wiki/Two_for_the_Money_(film)]",30500000.0,35000000.0,-19750000.0,-0.564285714286,2
Rhys Ifans,Rhys Ifans,"[https://en.wikipedia.org/wiki/Greenberg_(film), https://en.wikipedia.org/wiki/Human_Nature_(film), https://en.wikipedia.org/wiki/Little_Nicky, https://en.wikipedia.org/wiki/Nanny_McPhee_Returns, https://en.wikipedia.org/wiki/Passion_Play_(film), https://en.wikipedia.org/wiki/Serena_(2014_film), https://en.wikipedia.org/wiki/Snowden_(film), https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(2012_film), https://en.wikipedia.org/wiki/The_Five-Year_Engagement]",1011954790.0,485000000.0,20977395.0,0.0432523608247,9
Richard Crenna,Richard Crenna,[https://en.wikipedia.org/wiki/Rambo_III],189000000.0,58000000.0,36500000.0,0.629310344828,1
Jerry Daugirda,Jerry Daugirda,[https://en.wikipedia.org/wiki/Gone_in_60_Seconds_(1974_film)],40000000.0,150000.0,19850000.0,132.333333333,1
Richard T. Jones,Richard T. Jones,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II, https://en.wikipedia.org/wiki/Why_Did_I_Get_Married%3F, https://en.wikipedia.org/wiki/Why_Did_I_Get_Married_Too%3F]",63431905.0,30000000.0,1715952.5,0.0571984166667,3
Katherine LaNasa,Katherine LaNasa,"[https://en.wikipedia.org/wiki/Jayne_Mansfield%27s_Car, https://en.wikipedia.org/wiki/The_Campaign_(film)]",104900000.0,95000000.0,-42550000.0,-0.447894736842,2
Ted Nugent,Ted Nugent,[https://en.wikipedia.org/wiki/Beer_for_My_Horses_(film)],7587334.0,24000000.0,-20206333.0,-0.841930541667,1
Robert Capron,Robert Capron,"[https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Dog_Days_(film), https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Rodrick_Rules_(film), https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid_(film), https://en.wikipedia.org/wiki/Jakob_Davies]",297600000.0,79000000.0,69800000.0,0.883544303797,4
Jessie T. Usher,Jessie T. Usher,[https://en.wikipedia.org/wiki/Independence_Day:_Resurgence],389700000.0,165000000.0,29850000.0,0.180909090909,1
Amanda Detmer,Amanda Detmer,"[https://en.wikipedia.org/wiki/Big_Fat_Liar, https://en.wikipedia.org/wiki/Boys_and_Girls_(2000_film), https://en.wikipedia.org/wiki/Saving_Silverman, https://en.wikipedia.org/wiki/The_Majestic_(film), https://en.wikipedia.org/wiki/You,_Me_and_Dupree]",272637321.0,198000000.0,-61681339.5,-0.311521916667,5
