0,director_name,movies,revenues,costs,gross_profit,return,count
John Carney,John Carney,[https://en.wikipedia.org/wiki/Can_a_Song_Save_Your_Life%3F],63500000.0,8000000.0,23750000.0,2.96875,1
Ross Partridge,Ross Partridge,[https://en.wikipedia.org/wiki/Lamb_(2015_American_film)],0.0,0.0,0.0,,1
Michael Polish,Michael Polish,[https://en.wikipedia.org/wiki/Big_Sur_(film)],0.0,0.0,0.0,,1
Pete Docter,Pete Docter,"[https://en.wikipedia.org/wiki/Monsters,_Inc., https://en.wikipedia.org/wiki/Monsters,_Inc.]",1154800000.0,230000000.0,347400000.0,1.51043478261,2
Tyler Perry,Tyler Perry,"[https://en.wikipedia.org/wiki/For_Colored_Girls, https://en.wikipedia.org/wiki/Why_Did_I_Get_Married_Too%3F, https://en.wikipedia.org/wiki/Why_Did_I_Get_Married%3F, https://en.wikipedia.org/wiki/Madea%27s_Big_Happy_Family_(film), https://en.wikipedia.org/wiki/Good_Deeds, https://en.wikipedia.org/wiki/Madea%27s_Witness_Protection, https://en.wikipedia.org/wiki/A_Madea_Christmas_(film), https://en.wikipedia.org/wiki/Temptation:_Confessions_of_a_Marriage_Counselor, https://en.wikipedia.org/wiki/The_Single_Moms_Club, https://en.wikipedia.org/wiki/Boo!_A_Madea_Halloween]",399257139.0,153000000.0,46628569.5,0.304761892157,10
Michael Showalter,Michael Showalter,"[https://en.wikipedia.org/wiki/Hello,_My_Name_Is_Doris]",14700000.0,1000000.0,6350000.0,6.35,1
Jay Roach,Jay Roach,"[https://en.wikipedia.org/wiki/Dinner_for_Schmucks, https://en.wikipedia.org/wiki/Meet_the_Fockers, https://en.wikipedia.org/wiki/The_Campaign_(film)]",707300000.0,244000000.0,109650000.0,0.449385245902,3
"


Peter Farrelly
Bobby Farrelly (uncredited)


","


Peter Farrelly
Bobby Farrelly (uncredited)


",[https://en.wikipedia.org/wiki/Dumb_and_Dumber],247000000.0,17000000.0,106500000.0,6.26470588235,1
The Hughes brothers,The Hughes brothers,[https://en.wikipedia.org/wiki/The_Book_of_Eli],157107755.0,80000000.0,-1446122.5,-0.01807653125,1
"


Brian Klugman
Lee Sternthal


","


Brian Klugman
Lee Sternthal


",[https://en.wikipedia.org/wiki/The_Words_(film)],13231461.0,6000000.0,615730.5,0.10262175,1
Mabrouk El Mechri,Mabrouk El Mechri,[https://en.wikipedia.org/wiki/The_Cold_Light_of_Day_(2012_film)],16900000.0,20000000.0,-11550000.0,-0.5775,1
Ramaa Mosley,Ramaa Mosley,[https://en.wikipedia.org/wiki/The_Brass_Teapot],0.0,0.0,0.0,,1
"Peyo
Jose Dutillieu[1]
Eddie Lateste","Peyo
Jose Dutillieu[1]
Eddie Lateste",[https://en.wikipedia.org/wiki/The_Smurfs_and_the_Magic_Flute],0.0,0.0,0.0,,1
Gil Kenan,Gil Kenan,[https://en.wikipedia.org/wiki/Poltergeist_(2015_film)],95400000.0,35000000.0,12700000.0,0.362857142857,1
